S.No.,TempleID,TempleName,Address,City,District,ZipCode,Latitude,Longitude
253,TM000253,Sri Sai Mandir,Tilakwadi,Belagavi,Belagavi,590006,15.8394173,74.5027922
254,TM000254,Sri Narasimha Swamy Temple,,Mandya,Mandya,,12.55521543,76.90360571
255,TM000255,Sri Nandi Basaveshwara Swamy Temple,,,Mandya,,,
256,TM000256,Sri Hole Anjaneya Swamy Temple,,,Mandya,,12.5915746,77.0580726
257,TM000257,Sri Vaidyanatheshwara Swamy Temple,,,Mandya,,12.5730675,77.0632332
258,TM000258,Sri Ranganathaswamy Temple,,,Davangere,,,
259,TM000259,Sri Basaveshwara And Kalleshwara Temple,,,Davangere,,,
260,TM000260,Sri Harihareshwara Swamy Temple,"harihareshwara temple, taluk, Fort, Gandhi Nagar",Harihar,Davangere,577601,14.51249544,75.80261053
261,TM000261,Sri Durgaparameshwari Temple,,,Dakshina Kannada,,,
262,TM000262,Sri Yeluhede Nagappa Temple,Bukkasagar,Vijayanagar,Ballari,583132,15.3472081,76.5221778
263,TM000263,Sri Hosuramma Temple,,,Ballari,,15.2932099,76.3541808
264,TM000264,Sri Holemma Devi Lakshmi Temple,Badakundri,Belagavi,Belagavi,591221,16.1702288,74.5756196
265,TM000265,Sri Kapileshwara Temple,,,Belagavi,,15.85185124,74.51557932
266,TM000266,Sri Arkeshwara Swamy Temple,Ramanagar Town,Ramanagara,Ramanagara,562159,12.7208614,77.2798963
267,TM000267,Sri Venkata Ramana Swamy Temple,,,Tumakuru,,12.7365036,77.8400532
268,TM000268,Sri Veerbhadra Temple,Veerabhadranagara,Belagavi,Belagavi,590016,15.8709803,74.5215437
269,TM000269,Sri Beteraya Swamy Temple,,,Tumakuru,,12.5156637,77.7989833
270,TM000270,Sri Prasanna Lakshmi Venkataramana Swamy Temple,"X75G+3HX, Geetha Rd, Swarna Nagar, Kolar Gold Fields",Kolar Gold Fields,Kolar,563122,12.95798045,78.27588017
271,TM000271,Sri Kodandarama Swamy Temple,,,Kolar,,13.05880836,78.42733369
272,TM000272,Sri Vinayaka Temple,,,Uttara Kannada,,,
273,TM000273,Sri Katthimaramma Temple,,,Bengaluru Rural,,13.3042131,77.6993093
274,TM000274,Sri Kumararama Swamy Temple,"C6RC+HF8, Doddapalanahalli",Doddapalanahalli,Tumakuru,572129,13.44140934,77.22117124
275,TM000275,Sri Anjaneya Swamy Temple,,,Ballari,,14.4405974,75.8983719
276,TM000276,Sri Vinayaka Swamy Temple,Kurudumale,Kolar,Kolar,563131,13.2123293,78.3678677
277,TM000277,Mahathobhara Shri Karinjeshwara Temple,Karinja,Dakshina Kannada,Dakshina Kannada,574265,12.9140615,75.1280043
278,TM000278,Sri Lakshmi Narashimha Swamy Temple,,Mandya,Mandya,,12.61076622,76.79162876
279,TM000279,Sri Kaleshwara Temple,Yattambadi,Mandya,Mandya,571430,12.4576661,77.1866557
280,TM000280,Sri Veerabhadreshwara Swamy Temple,,,Ballari,,14.368477,75.745523
281,TM000281,Sri Kumara Swamy Temple,,,Ballari,,12.9402061,77.5625677
282,TM000282,Sri Kote Malleshwara Swamy Temple,,,Ballari,,15.1479674,76.9159015
283,TM000283,Sri Somanatheshwara Temple,,,Dakshina Kannada,,12.9665097,74.8617055
284,TM000284,Sri Maharajaswamy Temple,Maravanthe,Udupi,Udupi,576230,13.7110566,74.6424843
285,TM000285,Sri Durga Temple,Kanjuru,Udupi,Udupi,574117,13.1914456,74.7746684
286,TM000286,Sri Sooryanarayana Temple,,,Dakshina Kannada,,12.9547894,77.6385857
287,TM000287,Sri Mahadeva Vinayaka Temple,,,Uttara Kannada,,,
288,TM000288,Kemmannu Sri Durgaparameshwari Temple,Nitte,Udupi,Udupi,574110,13.3992627,74.7088325
289,TM000289,Mahathobhara Sri Seneshwara Temple,,Udupi,Udupi,576214,13.8677363,74.7102958
290,TM000290,Sri Mahalingeshwara And Kalingeshwara Temple,,Udupi,Udupi,576222,13.5886796,74.6934375
291,TM000291,Sri Mahaganapathi Temple,,,Udupi,,13.0002695,77.5704371
292,TM000292,Sri Malai Mahadeshwaraswamy Temple,Mm Hills,Hanur,Chamarajanagara,571490,12.0384765,77.5905645
293,TM000293,Sri Lakshmi Venkata Ramana Temple,"GMWC+G6R, Thirumalasagara Chatra",,Mandya,571434,12.55153487,76.70100414
294,TM000294,Sri Kashi Vishwanatha Temple,,,Mandya,,,
295,TM000295,Sri Lakshmi Venkataramanaswamy Temple,,,Chikkaballapura,,12.3270919,76.6330213
296,TM000296,Sri Himavadh Gopalaswamy Temple,,,Chamarajanagara,,11.7205634,76.5803286
297,TM000297,Sri Chitralingeshwara Swamy Temple,,,Chitradurga,,13.98879124,76.6607156
298,TM000298,Sri Maramma Devi Temple,,,Chitradurga,,13.0569665,77.5016238
299,TM000299,Sri Lakshmi Narasimha Swamy Temple,,Chitradurga,Chitradurga,,14.2212412,76.40159326
300,TM000300,Sri Terumalleshwara Swamy Temple,,,Chitradurga,,13.9459385,76.6154015
301,TM000301,Sri Anjaneya Swamy Temple,,,Davangere,,14.4405974,75.8983719
302,TM000302,Sri Anjaneya Swamy Temple,,,Davangere,,14.4405974,75.8983719
303,TM000303,Sri Maruteshwara Tample,,,Bagalkote,,12.311622,76.6468433
304,TM000304,Sri Udugiri Lakshmi Ranganatha Swamy Temple,,,Davangere,,,
305,TM000305,Sri Shiradi Chowdeshwari Temple,Heggadde,Sakaleshpura,Hassan,573134,12.8879399,75.7218847
306,TM000306,Sri Kenchamba Devi Temple,Harihalli,Alur,Hassan,573129,12.8411696,75.856154
307,TM000307,Sri Siddeshwara Swamy Temple,,Hassan,Hassan,573201,13.0186337,76.0949844
